START,2
WAIT,539
CHASE,0
ACQUIRE,21
FETCH,0
RETURN,3
START,2
WAIT,0
CHASE,683
ACQUIRE,23
FETCH,0
RETURN,11
START,3
WAIT,0
CHASE,0
ACQUIRE,539
FETCH,0
RETURN,5
START,3
WAIT,0
CHASE,0
ACQUIRE,0
FETCH,490
RETURN,0
START,3
WAIT,0
CHASE,0
ACQUIRE,0
FETCH,0
RETURN,503
START,[]
WAIT,[]
CHASE,[]
ACQUIRE,[]
FETCH,[]
RETURN,[]
START,[]
WAIT,[]
CHASE,[]
ACQUIRE,[]
FETCH,[]
RETURN,[]
