20,20
RETURN,30,12.46
WAIT,12,9.02
CHASE,119,12.93
ACQUIRE,12,13.0
FETCH,14,12.42
RETURN,27,12.24
WAIT,7,7.63
CHASE,41,13.22
ACQUIRE,5,13.73
FETCH,26,12.95
RETURN,35,12.29
WAIT,6,7.27
CHASE,141,12.96
ACQUIRE,11,12.92
FETCH,24,12.81
RETURN,27,12.47
WAIT,4,9.28
CHASE,75,12.93
ACQUIRE,9,12.56
FETCH,57,12.38
RETURN,34,12.88
WAIT,8,8.25
CHASE,117,13.21
ACQUIRE,4,13.63
FETCH,53,12.65
RETURN,14,13.88
20,20
WAIT,6,6.93
CHASE,120,12.16
ACQUIRE,8,11.96
FETCH,33,12.38
RETURN,11,13.17
WAIT,8,7.66
CHASE,38,12.24
ACQUIRE,9,12.55
FETCH,35,12.37
RETURN,52,11.7
WAIT,15,8.5
CHASE,81,13.61
ACQUIRE,7,12.39
FETCH,38,12.77
RETURN,40,13.04
WAIT,11,8.34
CHASE,107,12.78
ACQUIRE,12,12.54
FETCH,73,13.34
RETURN,63,12.21
WAIT,4,7.96
CHASE,151,12.21
ACQUIRE,14,12.13
FETCH,17,12.02
RETURN,34,11.94
WAIT,11,6.76
CHASE,77,12.26
ACQUIRE,7,12.11
FETCH,42,11.99
RETURN,21,12.23
WAIT,15,7.2
CHASE,93,12.17
ACQUIRE,4,12.01
FETCH,27,11.9
RETURN,22,12.37
WAIT,11,7.28
CHASE,95,12.08
ACQUIRE,2,12.08
FETCH,41,12.11
RETURN,34,11.91
WAIT,8,7.23
CHASE,95,12.13
ACQUIRE,6,11.73
FETCH,19,12.59
RETURN,21,12.42
WAIT,11,7.1
CHASE,43,11.83
ACQUIRE,5,12.35
FETCH,40,11.86
RETURN,39,12.06
WAIT,5,8.48
CHASE,75,12.19
ACQUIRE,4,12.71
FETCH,27,12.49
RETURN,49,11.78
WAIT,11,7.55
CHASE,138,12.82
ACQUIRE,15,12.07
FETCH,44,12.46
RETURN,34,12.23
WAIT,5,6.58
CHASE,66,12.22
ACQUIRE,4,12.6
FETCH,34,12.67
RETURN,31,12.15
WAIT,8,7.12
CHASE,42,12.06
ACQUIRE,1,11.32
FETCH,17,12.29
RETURN,17,12.43
WAIT,13,7.14
CHASE,124,12.09
ACQUIRE,6,11.98
FETCH,27,12.2
RETURN,53,11.82
WAIT,13,7.75
CHASE,113,12.03
ACQUIRE,6,12.69
FETCH,76,27.33
RETURN,18,12.31
WAIT,2,9.15
CHASE,55,13.07
ACQUIRE,2,12.36
FETCH,27,13.28
RETURN,31,13.29
WAIT,14,8.36
CHASE,133,13.25
ACQUIRE,4,12.74
FETCH,35,12.97
RETURN,2,15.94
